,price,ranks,title,no_of_reviews,ratings,author,cover_type,year
609,4.44,18,Knock-Knock Jokes for Kids (Laugh-Out-Loud Jokes for Kids),"5,690",4.5,Rob Elliott,Paperback,2015
610,5.00,19,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,,Board book,2015
611,9.19,20,The Day the Crayons Quit,"19,910",4.8,Drew Daywalt,Hardcover,2015
612,14.15,21,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,"31,141",4.8,Daniel James Brown,Paperback,2015
613,7.53,22,"Jesus Calling, Padded Hardcover, with Scripture references","31,205",4.9,Sarah Young,Hardcover,2015
614,8.55,23,Mindset: The New Psychology of Success,"13,934",4.6,Carol S. Dweck,Paperback,2015
615,12.76,24,"Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades Of Grey Series, 4)","37,810",4.5,E L James,Paperback,2015
616,5.99,25,Creative Haven Creative Cats Coloring Book (Adult Coloring),"5,117",4.8,Marjorie Sarnat,Paperback,2015
617,10.50,26,How to Win Friends & Influence People,"79,206",4.7,Dale Carnegie,Paperback,2015
618,7.57,27,The 5 Love Languages: The Secret to Love that Lasts,"69,932",4.8,Gary Chapman,Paperback,2015
619,11.95,28,Balance (Angie’s Extreme Stress Menders),"2,270",4.6,Angie Grace,Paperback,2015
620,5.38,29,Creative Haven Owls Coloring Book (Adult Coloring),"5,207",4.7,Marjorie Sarnat,Paperback,2015
621,22.98,30,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,,Hardcover,2015
622,6.90,31,Giraffes Can't Dance,"28,453",4.8,Giles Andreae,Board book,2015
623,9.67,32,Wonder,"35,722",4.8,R. J. Palacio,Hardcover,2015
624,18.39,33,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,"9,189",4.7,Stephen R. Covey,Paperback,2015
625,7.74,34,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),"86,766",4.7,Don Miguel Ruiz,Paperback,2015
626,16.00,35,Being Mortal: Medicine and What Matters in the End,"19,298",4.8,Atul Gawande,Hardcover,2015
627,4.98,36,Love You Forever,"53,225",4.9,Robert Munsch,Paperback,2015
628,4.93,37,The Very Hungry Caterpillar,"54,087",4.9,Eric Carle,Board book,2015
629,23.49,38,"Publication Manual of the American Psychological Association, 6th Edition","12,677",4.5,American Psychological Association,Paperback,2015
630,12.92,39,Between the World and Me,"20,045",4.7,Ta-Nehisi Coates,Hardcover,2015
631,5.67,40,Baby Touch and Feel: Animals,DK,4.7,,Board book,2015
632,9.90,41,The Book with No Pictures,"16,889",4.8,B. J. Novak,Hardcover,2015
633,14.50,42,The Wright Brothers,"7,927",4.7,David McCullough,Hardcover,2015
634,5.38,43,Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),"2,603",4.6,Marty Noble,Paperback,2015
635,16.26,44,The Nightingale: A Novel,"100,066",4.8,Kristin Hannah,Hardcover,2015
636,14.44,45,"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve Supper","8,087",4.8,Ree Drummond,Hardcover,2015
637,8.73,46,What Pet Should I Get? (Classic Seuss),"6,171",4.8,Dr. Seuss,Hardcover,2015
638,19.39,47,Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),"6,647",4.7,Bill O'Reilly,Hardcover,2015
639,14.39,48,Harry Potter Coloring Book,"10,139",4.8,Scholastic,Paperback,2015
640,9.99,49,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,"19,372",4.6,Chris Kyle,Paperback,2015
641,14.68,50,The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,,Hardcover,2015
642,5.71,51,Diary of a Minecraft Zombie Book 1: A Scare of A Dare,"12,865",4.7,Zack Zombie,Paperback,2015
643,6.79,52,The Great Gatsby: The Only Authorized Edition,"18,675",4.5,F. Scott Fitzgerald,Paperback,2015
644,14.95,53,Lost Ocean: An Inky Adventure and Coloring Book for Adults,"8,073",4.7,Johanna Basford,Paperback,2015
645,20.70,54,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,4.6,,Hardcover,2015
646,41.47,55,The Official SAT Study Guide,The College Board,4.4,,Paperback,2015
647,9.05,56,10-Day Green Smoothie Cleanse,"32,835",4.7,JJ Smith,Paperback,2015
648,,57,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,"29,699",4.7,Brené Brown,Paperback,2015
649,4.59,58,Chicka Chicka Boom Boom (Board Book),Bill Martin Jr.,4.9,,Board book,2015
650,13.52,59,The Day the Crayons Came Home,"5,391",4.9,Drew Daywalt,Hardcover,2015
